"file","name","annotations","type","associated equipment","label x","label y"
"01_PID_B01_page001","25TIT20124","","instrument","P0125201","786.90","501.53"
"01_PID_B01_page001","25FIT20126","","instrument","P0125201","415.75","349.73"
"01_PID_B01_page001","25IIT20201","","instrument","P0125202","921.28","622.39"
"01_PID_B01_page001","25PDT20202","","instrument","P0125202","153.53","695.79"
"01_PID_B01_page001","25JIT20203","","instrument","P0125202","839.41","558.90"
"01_PID_B01_page001","25SIT20204","","instrument","P0125202","776.47","727.86"
"01_PID_B01_page001","25PIT20221","","instrument","P0125202","176.65","962.54"
"01_PID_B01_page001","25TIT20223","","instrument","P0125202","417.17","988.27"
"01_PID_B01_page001","25FIT20225","","instrument","P0125202","292.37","522.87"
"01_PID_B01_page001","25PIT20222","","instrument","P0125202","421.36","867.30"
"01_PID_B01_page001","25TIT20224","","instrument","P0125202","820.42","539.90"
"01_PID_B01_page001","25FIT20226","","instrument","P0125202","271.96","258.43"
"01_PID_B01_page001","26IIT20301","","instrument","P0126203","508.14","676.74"
"01_PID_B01_page001","26PDT20302","","instrument","P0126203","166.33","991.90"
"01_PID_B01_page001","26JIT20303","","instrument","P0126203","344.45","264.30"
"01_PID_B01_page001","26SIT20304","","instrument","P0126203","471.23","820.51"
"01_PID_B01_page001","26PIT20321","","instrument","P0126203","777.84","518.11"
"01_PID_B01_page001","26TIT20323","","instrument","P0126203","737.66","270.04"
"01_PID_B01_page001","26FIT20325","","instrument","P0126203","476.62","437.92"
"01_PID_B01_page001","26PIT20322","","instrument","P0126203","708.12","239.76"
"01_PID_B01_page001","26TIT20324","","instrument","P0126203","297.77","585.48"
"01_PID_B01_page001","26FIT20326","","instrument","P0126203","693.52","375.33"
"01_PID_B01_page001","26IIT20401","","instrument","P0126204","384.18","343.60"
"01_PID_B01_page001","26PDT20402","","instrument","P0126204","256.78","332.40"
"01_PID_B01_page001","26JIT20403","","instrument","P0126204","400.80","607.88"
"01_PID_B01_page001","26SIT20404","","instrument","P0126204","616.46","931.09"
"01_PID_B01_page001","26PIT20421","","instrument","P0126204","187.01","850.68"
"01_PID_B01_page001","26TIT20423","","instrument","P0126204","912.24","475.47"
"01_PID_B01_page001","26FIT20425","","instrument","P0126204","578.54","354.62"
"01_PID_B01_page001","26PIT20422","","instrument","P0126204","301.46","184.22"
"01_PID_B01_page001","26TIT20424","","instrument","P0126204","533.24","416.34"
"01_PID_B01_page001","26FIT20426","","instrument","P0126204","990.34","374.64"
"01_PID_B02_page001","27IIT20501","","instrument","P0227205","662.06","118.98"
"01_PID_B02_page001","27PDT20502","","instrument","P0227205","305.46","971.72"
"01_PID_B02_page001","27JIT20503","","instrument","P0227205","496.02","679.64"
"01_PID_B02_page001","27SIT20504","","instrument","P0227205","527.73","420.00"
"01_PID_B02_page001","27PIT20521","","instrument","P0227205","593.38","216.64"
"01_PID_B02_page001","27TIT20523","","instrument","P0227205","432.37","119.23"
"01_PID_B02_page001","27FIT20525","","instrument","P0227205","568.52","937.50"
"01_PID_B02_page001","27PIT20522","","instrument","P0227205","751.32","703.82"
"01_PID_B02_page001","27TIT20524","","instrument","P0227205","453.31","507.54"
"01_PID_B02_page001","27FIT20526","","instrument","P0227205","269.03","976.52"
"01_PID_B01_page001","C0125101","","equipment","","492.59","452.4"
"01_PID_B01_page001","C0125102","","equipment","","811.33","929.42"
"01_PID_B01_page001","C0126103","","equipment","","283.57","617.18"
"01_PID_B01_page001","C0126104","","equipment","","839.43","484.67"
"01_PID_B02_page001","C0227105","","equipment","","282.39","125.64"
"01_PID_B01_page001","P0125201","","equipment","","501.92","138.12"
"01_PID_B01_page001","P0125202","","equipment","","978.96","521.91"
"01_PID_B01_page001","P0126203","","equipment","","377.88","946.75"
"01_PID_B01_page001","P0126204","","equipment","","581.27","430.91"
"01_PID_B02_page001","P0227205","","equipment","","268.12","608.23"
